Precinct,Address,Address.Valid,Clean.Address,Lat,Long
5th Precinct,"19 Elizabeth St, New York, NY 10013",True,"19 Elizabeth St, New York, NY 10013, USA",40.7161942,-73.9974699
60th Precinct,"2951 W 8th St, Brooklyn, NY 11224",True,"2951 W 8th St, Brooklyn, NY 11224, USA",40.576552,-73.9761158
61st Precinct,"2575 Coney Island Ave, Brooklyn NY 11223",True,"2575 Coney Island Ave, Brooklyn, NY 11223, USA",40.5941521,-73.9605042
62nd Precinct,"1925 Bath Ave, Brooklyn, NY 11214",True,"1925 Bath Ave, Brooklyn, NY 11214, USA",40.6025018,-74.0031348
63rd Precinct,"1844 Brooklyn Ave, Brooklyn, NY 11210",True,"1844 Brooklyn Ave, Brooklyn, NY 11210, USA",40.627926,-73.941616
66th Precinct,"5822 16th Ave, Brooklyn, NY 11204",True,"5822 16th Ave, Brooklyn, NY 11204, USA",40.6257117,-73.9913846
67th Precinct,"2820 Snyder Ave, Brooklyn, NY 11226",True,"2820 Snyder Ave, Brooklyn, NY 11226, USA",40.6486648,-73.9502641
68th Precinct,"333 65th St, Brooklyn NY 11220",True,"333 65th St, Brooklyn, NY 11220, USA",40.6389811,-74.0226226
69th Precinct,"9720 Foster Ave, Brooklyn, NY 11236",True,"9720 Foster Ave, Brooklyn, NY 11236, USA",40.648479,-73.9049807
6th Precinct,"233 W 10th St, New York, NY 10014",True,"233 W 10th St, New York, NY 10014, USA",40.7342332,-74.0054532
70th Precinct,"154 Lawrence Ave, Brooklyn NY 11230",True,"154 Lawrence Ave, Brooklyn, NY 11230, USA",40.6303373,-73.9737354
71st Precinct,"421 Empire Blvd, Brooklyn, NY 11225",True,"421 Empire Blvd, Brooklyn, NY 11225, USA",40.6645922,-73.9478302
72nd Precinct,"830 4th Ave, Brooklyn, NY 11232",True,"830 4th Ave, Brooklyn, NY 11232, USA",40.6583216,-74.0008623
73rd Precinct,"1470 E New York Ave, Brooklyn, NY 11212",True,"1470 E New York Ave, Brooklyn, NY 11212, USA",40.6707987,-73.9135238
75th Precinct,"484 Liberty Ave, Brooklyn, NY 11207",True,"484 Liberty Ave, Brooklyn, NY 11207, USA",40.6749315,-73.8920096
75th Precinct,"1000 Sutter Ave, Brooklyn, NY 11208",True,"1000 Sutter Ave, Brooklyn, NY 11208, USA",40.6713074,-73.8815815
76th Precinct,"191 Union St, Brooklyn, NY 11231",True,"191 Union St, Brooklyn, NY 11231, USA",40.6838295,-74.0002227
77th Precinct,"127 Utica Ave, Brooklyn, NY 11213",True,"127 Utica Ave, Brooklyn, NY 11213, USA",40.6746488,-73.9302415
78th Precinct,"65 6th Ave, Brooklyn, NY 11217",True,"65 6th Ave, Brooklyn, NY 11217, USA",40.6805766,-73.9741977
79th Precinct,"263 Tompkins Ave, Brooklyn, NY 11216",True,"263 Tompkins Ave, Brooklyn, NY 11216, USA",40.6888144,-73.9448433
7th Precinct,"19 ½ Pitt St, New York, NY 10002",True,"19 Pitt St, New York, NY 10002, USA",40.7160742,-73.9837635
83rd Precinct,"480 Knickerbocker Ave, Brooklyn, NY 11237",True,"480 Knickerbocker Ave, Brooklyn, NY 11237, USA",40.6981474,-73.9178411
84th Precinct,"301 Gold St, Brooklyn, NY 11201",True,"301 Gold St, Brooklyn, NY 11201, USA",40.6955481,-73.9829169
88th Precinct,"298 Classon Ave, Brooklyn, NY 11205",True,"298 Classon Ave, Brooklyn, NY 11205, USA",40.6900709,-73.9605316
90th Precinct,"211 Union Ave, Brooklyn NY 11211",True,"211 Union Ave, Brooklyn, NY 11211, USA",40.706273,-73.9507692
94th Precinct,"100 Meserole Ave, Brooklyn, NY 11222",True,"100 Meserole Ave, Brooklyn, NY 11222, USA",40.7266755,-73.9532951
9th Precinct,"321 E 5th St, New York NY 10003",True,"321 E 5th St, New York, NY 10003, USA",40.7265591,-73.9878238
Booking,"120 Schermerhorn St, Brooklyn, NY 11201",True,"120 Schermerhorn St, Brooklyn, NY 11201, USA",40.6896262,-73.9888393
Headquarters,"1 Police Plaza Path, New York, NY 10038",True,"1 Police Plaza, 1 Police Plaza Path, New York, NY 10038, USA",40.7120619,-74.0023853
Midtown Precinct North,"306 W 54th St, New York, NY 10019",True,"306 W 54th St, New York, NY 10019, USA",40.7649517,-73.9851379
Midtown Precinct South,"357 W 35th St, New York, NY 10001",True,"357 W 35th St, New York, NY 10001, USA",40.7538904,-73.9948941
None,"2860 W 23rd St, Brooklyn, NY 11224",True,"2860 W 23rd St, Brooklyn, NY 11224, USA",40.5763051,-73.9903977
None,"2 Lafayette St, New York, NY 10007",True,"2 Lafayette St, New York, NY 10007, USA",40.7139848,-74.0036309
Police Service Area 2,"560 Sutter Ave, Brooklyn NY 11207",True,"560 Sutter Ave, Brooklyn, NY 11207, USA",40.6687274,-73.8984583
Service Area 4,"130 Loisaida Ave, New York, NY 10009",True,"130 Loisaida Ave, New York, NY 10009, USA",40.7247456,-73.9781554
